"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"AGO","Angola","AGO.1_1","Bengo",630423.812533811,0,0,2020
"AGO","Angola","AGO.2_1","Benguela",1910804.06391013,0,0,2020
"AGO","Angola","AGO.3_1","Bié",1079362.39245036,0,0,2020
"AGO","Angola","AGO.4_1","Cabinda",1220604.83241992,0,0,2020
"AGO","Angola","AGO.5_1","Cuando Cubango",416756.049498595,0.000274869517787309,0.000255048675097309,2020
"AGO","Angola","AGO.6_1","Cuanza Norte",346566.948730189,0,0,2020
"AGO","Angola","AGO.7_1","Cuanza Sul",1872568.07023459,0,0,2020
"AGO","Angola","AGO.8_1","Cunene",1245089.56874862,0,0,2020
"AGO","Angola","AGO.9_1","Huambo",1679131.2224035,0,0,2020
"AGO","Angola","AGO.10_1","Huíla",3204264.21985912,0,0,2020
"AGO","Angola","AGO.11_1","Luanda",15241357.5096855,0,0,2020
"AGO","Angola","AGO.12_1","Lunda Norte",878206.845583051,0,0,2020
"AGO","Angola","AGO.13_1","Lunda Sul",516872.311698422,0,0,2020
"AGO","Angola","AGO.14_1","Malanje",946501.59828857,0,0,2020
"AGO","Angola","AGO.15_1","Moxico",1187598.14652974,4.56335589429802e-05,2.62414671861156e-05,2020
"AGO","Angola","AGO.16_1","Namibe",607222.417046309,0,0,2020
"AGO","Angola","AGO.17_1","Uíge",904249.437147379,0,0,2020
"AGO","Angola","AGO.18_1","Zaire",753546.245653603,0,0,2020
"BDI","Burundi","BDI.1_1","Bubanza",420145.683761597,0,0,2020
"BDI","Burundi","BDI.2_1","Bujumbura Mairie",859432.817626953,0,0,2020
"BDI","Burundi","BDI.3_1","Bujumbura Rural",807568.327159166,0,0,2020
"BDI","Burundi","BDI.4_1","Bururi",861433.549201965,0.000835820747953322,0.000773295825673612,2020
"BDI","Burundi","BDI.5_1","Cankuzo",330864.427017212,0.058918966202154,0.0565225000354202,2020
"BDI","Burundi","BDI.6_1","Cibitoke",576816.31212616,0,0,2020
"BDI","Burundi","BDI.7_1","Gitega",911101.340492249,0.0528293566985263,0.0554140588238555,2020
"BDI","Burundi","BDI.8_1","Karuzi",540975.994850159,0.0570131612065084,0.0567957656069162,2020
"BDI","Burundi","BDI.9_1","Kayanza",844369.972763062,0.00110327122876277,0.00112317217864531,2020
"BDI","Burundi","BDI.10_1","Kirundo",847842.91530633,0.00104037458077073,0.00128435911700495,2020
"BDI","Burundi","BDI.11_1","Makamba",572689.993829489,0.0012886470153195,0.00159264206822228,2020
"BDI","Burundi","BDI.12_1","Muramvya",350438.489089966,0,0,2020
"BDI","Burundi","BDI.13_1","Muyinga",991327.835639954,0.0546170333639169,0.0592435540078363,2020
"BDI","Burundi","BDI.14_1","Mwaro",347101.864044189,0,0,2020
"BDI","Burundi","BDI.15_1","Ngozi",828642.934295654,0.0605265117945179,0.0580498086374817,2020
"BDI","Burundi","BDI.16_1","Rutana",530022.941261292,0.0591903969125692,0.0589816274951987,2020
"BDI","Burundi","BDI.17_1","Ruyigi",597803.101558685,0.00202954198839595,0.00185507137496491,2020
