"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"AGO","Angola","AGO.1_1","Bengo",630423.812533811,0.193630388170683,0.176892403896827
"AGO","Angola","AGO.2_1","Benguela",1910804.06391013,0.0851771474970137,0.0756023928164718
"AGO","Angola","AGO.3_1","Bié",1079362.39245036,0.351324583221821,0.265836274843485
"AGO","Angola","AGO.4_1","Cabinda",1220604.83241992,0.289081191864257,0.227137953277702
"AGO","Angola","AGO.5_1","Cuando Cubango",416756.049498595,0.209574094301688,0.332286035062368
"AGO","Angola","AGO.6_1","Cuanza Norte",346566.948730189,0.302393090218518,0.281520988634522
"AGO","Angola","AGO.7_1","Cuanza Sul",1872568.07023459,0.198330468411963,0.161219310138174
"AGO","Angola","AGO.8_1","Cunene",1245089.56874862,0.0812773200986982,0.0640779949616443
"AGO","Angola","AGO.9_1","Huambo",1679131.2224035,0.0466868452006771,0.0419393831369405
"AGO","Angola","AGO.10_1","Huíla",3204264.21985912,0.0616631286980731,0.0460283959850663
"AGO","Angola","AGO.11_1","Luanda",15241357.5096855,0.147069852868164,0.127596611326818
"AGO","Angola","AGO.12_1","Lunda Norte",878206.845583051,0.234501764596217,0.236892986419091
"AGO","Angola","AGO.13_1","Lunda Sul",516872.311698422,0.277417534241873,0.188199558834275
"AGO","Angola","AGO.14_1","Malanje",946501.59828857,0.29842492251476,0.233746832686099
"AGO","Angola","AGO.15_1","Moxico",1187598.14652974,0.243963100170267,0.26384017503728
"AGO","Angola","AGO.16_1","Namibe",607222.417046309,0.0505919334650896,0.0413141068996925
"AGO","Angola","AGO.17_1","Uíge",904249.437147379,0.369765802698916,0.327829073551155
"AGO","Angola","AGO.18_1","Zaire",753546.245653603,0.284476790024954,0.279047742559004
"BDI","Burundi","BDI.1_1","Bubanza",420145.683761597,0.068084785171474,0.0707004539088395
"BDI","Burundi","BDI.2_1","Bujumbura Mairie",859432.817626953,0.040124398842454,0.0556091928376631
"BDI","Burundi","BDI.3_1","Bujumbura Rural",807568.327159166,0.0416995345706671,0.0552878455314751
"BDI","Burundi","BDI.4_1","Bururi",861433.549201965,0.0432414723974135,0.0587583547917989
"BDI","Burundi","BDI.5_1","Cankuzo",330864.427017212,0.25502639920229,0.239790620887434
"BDI","Burundi","BDI.6_1","Cibitoke",576816.31212616,0.093736902758893,0.100540440081767
"BDI","Burundi","BDI.7_1","Gitega",911101.340492249,0.120133060051335,0.124128306318273
"BDI","Burundi","BDI.8_1","Karuzi",540975.994850159,0.232432767967967,0.231424058547903
"BDI","Burundi","BDI.9_1","Kayanza",844369.972763062,0.0918136542806259,0.0998014712316116
"BDI","Burundi","BDI.10_1","Kirundo",847842.91530633,0.206356105208397,0.20535366068698
"BDI","Burundi","BDI.11_1","Makamba",572689.993829489,0.111128401072299,0.143422720845335
"BDI","Burundi","BDI.12_1","Muramvya",350438.489089966,0.0618961308031313,0.0685054949304851
"BDI","Burundi","BDI.13_1","Muyinga",991327.835639954,0.232216913348589,0.208412012675325
"BDI","Burundi","BDI.14_1","Mwaro",347101.864044189,0.041555826993365,0.0483672519013914
"BDI","Burundi","BDI.15_1","Ngozi",828642.934295654,0.177009367990115,0.16146515275556
"BDI","Burundi","BDI.16_1","Rutana",530022.941261292,0.172771744430065,0.175070227356218
"BDI","Burundi","BDI.17_1","Ruyigi",597803.101558685,0.229184386220951,0.228645259557656
