"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"AGO","Angola","AGO.1_1","Bengo",630423.812533811,0.452804401966795,0.456524510514952,2020
"AGO","Angola","AGO.2_1","Benguela",1910804.06391013,0.453470899547488,0.422066023069412,2020
"AGO","Angola","AGO.3_1","Bié",1079362.39245036,0.451116877742436,0.452175518148642,2020
"AGO","Angola","AGO.4_1","Cabinda",1220604.83241992,0.45351250655354,0.448060230174116,2020
"AGO","Angola","AGO.5_1","Cuando Cubango",416756.049498595,0.448784659953662,0.451446631214553,2020
"AGO","Angola","AGO.6_1","Cuanza Norte",346566.948730189,0.452048777950616,0.452663176731954,2020
"AGO","Angola","AGO.7_1","Cuanza Sul",1872568.07023459,0.452331909528271,0.452631759822557,2020
"AGO","Angola","AGO.8_1","Cunene",1245089.56874862,0.451598113144257,0.452758088464038,2020
"AGO","Angola","AGO.9_1","Huambo",1679131.2224035,0.452336225213317,0.452742835811198,2020
"AGO","Angola","AGO.10_1","Huíla",3204264.21985912,0.451824335028044,0.451760360710545,2020
"AGO","Angola","AGO.11_1","Luanda",15241357.5096855,0.457830294414803,0.449604416018528,2020
"AGO","Angola","AGO.12_1","Lunda Norte",878206.845583051,0.451846049668413,0.447451032809589,2020
"AGO","Angola","AGO.13_1","Lunda Sul",516872.311698422,0.451104970628272,0.452173446755085,2020
"AGO","Angola","AGO.14_1","Malanje",946501.59828857,0.451024422045687,0.451690876331109,2020
"AGO","Angola","AGO.15_1","Moxico",1187598.14652974,0.449667912755274,0.45037067575592,2020
"AGO","Angola","AGO.16_1","Namibe",607222.417046309,0.453277948135049,0.339431777135566,2020
"AGO","Angola","AGO.17_1","Uíge",904249.437147379,0.449837206396563,0.450508215134585,2020
"AGO","Angola","AGO.18_1","Zaire",753546.245653603,0.451166046690141,0.424785812319743,2020
"BDI","Burundi","BDI.1_1","Bubanza",420145.683761597,0.460387692848841,0.446538605263298,2020
"BDI","Burundi","BDI.2_1","Bujumbura Mairie",859432.817626953,0.460228004625865,0.460056698983186,2020
"BDI","Burundi","BDI.3_1","Bujumbura Rural",807568.327159166,0.457737038994944,0.392743795328349,2020
"BDI","Burundi","BDI.4_1","Bururi",861433.549201965,0.45689489043528,0.264549295163349,2020
"BDI","Burundi","BDI.5_1","Cankuzo",330864.427017212,0.455799366037051,0.431009262700755,2020
"BDI","Burundi","BDI.6_1","Cibitoke",576816.31212616,0.457306528549928,0.426525380878583,2020
"BDI","Burundi","BDI.7_1","Gitega",911101.340492249,0.454302808722934,0.390424786772667,2020
"BDI","Burundi","BDI.8_1","Karuzi",540975.994850159,0.451337982626522,0.451014559904053,2020
"BDI","Burundi","BDI.9_1","Kayanza",844369.972763062,0.451154022774798,0.42041097822459,2020
"BDI","Burundi","BDI.10_1","Kirundo",847842.91530633,0.456055160564712,0.451826517352237,2020
"BDI","Burundi","BDI.11_1","Makamba",572689.993829489,0.456988905758961,0.444480798081386,2020
"BDI","Burundi","BDI.12_1","Muramvya",350438.489089966,0.453168985389528,0.340504849486749,2020
"BDI","Burundi","BDI.13_1","Muyinga",991327.835639954,0.453828120078796,0.426113794384721,2020
"BDI","Burundi","BDI.14_1","Mwaro",347101.864044189,0.453418469854764,0.193751499180479,2020
"BDI","Burundi","BDI.15_1","Ngozi",828642.934295654,0.448255227198676,0.434767329240802,2020
"BDI","Burundi","BDI.16_1","Rutana",530022.941261292,0.45690279006958,0.44505823413216,2020
"BDI","Burundi","BDI.17_1","Ruyigi",597803.101558685,0.455373039812718,0.455413080279283,2020
